"X","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM"
305,2015,11,14,2,261,261,17,95,4300,6,7.2,1013.5,5.5,0,"NE",1.2
306,2015,6,15,14,99,125,32,30,1500,265,30.5,1001.3,15.4,0,"S",3.2
307,2015,3,20,11,32,169,2,23,300,80,16.9,1015.7,-16.3,0,"NW",3.1
308,2014,9,26,10,118,128,20,80,1700,11,20,1006.7,15.6,0,"SE",2
309,2013,7,10,5,37,20,3,47,900,2,22.8,1000.8,22,0.1,"N",0.5
310,2014,7,13,14,18,18,2,7,300,140,34.6,996.3,11.1,0,"E",1.5
311,2017,1,16,2,109,119,15,72,1800,9,-3.275,1028,-8.1,0,"NE",1.5
312,2013,11,15,22,106,190,30,103,1700,3.4272,4.6,1011.4,-3.2,0,"N",1.7
313,2013,11,4,14,44,62,14,39,500,62.3322,17.9,1022.1,-3.6,0,"SW",2
314,2017,1,28,17,238,286,63,56,2700,20,1.7,1016,-7.9,0,"NE",1.3
315,2016,9,15,18,113,148,9,28,1000,214,28.8,1008.4,19.1,0,"SW",1.7
316,2014,11,6,15,8,8,2,15,200,80,11,1027,-13.9,0,"NE",2.1
317,2016,7,22,1,69,69,2,52,1100,18,24.4,997.2,23.7,0,"E",0.9
318,2017,1,6,20,233,253,26,140,4900,4,1.5,1021.3,-2.8,0,"NE",0.6
319,2014,9,7,17,107,141,21,23,1200,201,27.5,1001.8,18.5,0,"S",1.5
320,2014,8,19,0,64,99,14,41,1300,132,23.8,1007.5,18,0,"W",1.1
321,2015,2,27,18,44,56,22,39,900,42,2,1027,-9.3,0,"S",2.3
322,2016,12,3,18,382,470,35,150,4300,7,3.4,1014.5,-1.6,0,"E",0.9
323,2014,7,21,21,8,40,4,47,400,58,30.8,1000.6,14,0,"N",1.6
324,2014,12,31,14,9,72,7,12,300,69,-1,1026,-25.2,0,"NW",6.9
325,2017,1,10,10,10,10,4,28,500,40,0.066666667,1028,-17.8,0,"NW",4.3
326,2014,4,6,14,32,80,6,26,1000,128,24.4,1010.3,-6.9,0,"SW",5.3
327,2017,2,9,12,8,11,3,8,300,76,-0.4,1024.4,-22.5,0,"NW",5.8
328,2014,2,1,2,158,167,77,59,1600,4,1.8,1014.2,-3.5,0,"NE",0.9
329,2013,3,16,2,279,288,74,129,2600,59,6.4,1018.3,-0.8,0,"N",2
330,2015,1,16,4,490,490,14,123,6100,5,-3,1023,-7.7,0,"NW",3.5
331,2016,6,11,9,4,5,2,11,300,84,25.8,1004.3,9.6,0,"NW",3.4
332,2016,10,14,8,199,206,7,72,2100,2,13.6,1017.3,13.1,0,"E",0.5
333,2014,5,22,0,133,246,30,111,1600,51,23.6,1000.7,16.1,0,"S",1.2
334,2015,8,12,18,61,130,6,28,900,226,33.9,999.4,19.6,0,"SW",3.9
335,2015,6,19,16,24,39,3,27,900,58,20.5,1007.2,15.1,0.2,"NE",1.2
336,2015,11,11,3,165,165,14,60,2400,4,5.6,1025.9,4.9,0,"NE",0.8
337,2013,6,27,1,265,165,13,65,1200,70,23.9,992.8,20.6,0,"N",1.1
338,2013,7,5,19,7,32,6,34,500,185,32.2,994.6,13.9,0,"S",1.2
339,2014,7,26,16,66,84,19,13,1100,276,34.3,1002.9,17.1,0,"SW",3.7
340,2014,7,31,17,148,148,4,25,1300,234,29.8,1000.3,22,0,"SE",2.1
341,2016,4,14,5,43,149,2,29,200,62,14,1009.4,-4.7,0,"NE",1.8
342,2016,10,5,20,87,103,3,54,1400,23,16.6,1015.7,14.8,0,"NE",1.3
343,2016,6,22,1,42,42,2,27,700,114,23,999.8,18.3,0,"E",1.6
344,2013,12,30,21,80,122,38,93,1200,6,3.6,1010.8,-17.9,0,"W",2.5
345,2013,7,12,17,50,47,3,7,900,162,30.7,1000.8,22.6,0,"SW",1.4
346,2015,10,27,10,14,56,4,56,700,7,11.7,1012.6,-4.1,0,"NE",1.1
347,2017,1,13,3,16,13,12,20,100,61,0.05,1018.5,-16.9,0,"NE",4
348,2013,10,23,2,42,14,10,48,700,5,7.1,1018.1,3.7,0,"NE",2.1
349,2015,4,16,9,7,36,2,12,300,77,14,1010.4,-14.1,0,"NW",6.8
350,2013,10,19,15,22,23,8,14,300,52,17.6,1020.7,-1.6,0,"NW",5.1
351,2015,5,14,16,24,40,2,26,400,121,25.4,1002.2,1.5,0,"W",1.9
352,2014,7,8,7,133,133,6,70,1200,21,26.9,998.1,21.9,0,"NE",1.7
353,2015,9,26,19,49,86,13,52,800,128,23.4,1008,10.1,0,"S",1.2
354,2014,9,24,16,9,20,2,15,400,103,23.5,1010.5,14.8,0,"S",3.1
355,2013,7,16,7,11,11,7,16,500,56,26.9,994.9,15.6,0,"NW",3.4
356,2015,3,31,6,160,160,18,45,2300,52,13,1006.1,9.4,0.1,"E",1.3
357,2013,11,29,2,22,40,22,59.537,1200,2,0.2,1019.6,-13.5,0,"W",1.1
358,2016,1,18,19,12,44,2,41,400,39,-8.7,1024.4,-24.4,0,"N",2
359,2015,3,25,6,121,121,37,96,2400,5,1.2,1026.8,-2.7,0,"NE",0.2
360,2013,7,2,14,3,11,3,15,400,110,35.3,991,14,0,"W",4.8
361,2015,8,26,4,8,17,2,36,500,33,22.3,1005.6,17.2,0,"NE",1.4
362,2016,9,14,16,79,79,10,22,700,209,29.35,1010,17.6,0,"SW",3.8
363,2013,4,9,1,11,42,3,14,300,90,6.6,1012.1,-10.7,0,"NW",5.3
364,2013,3,20,6,30,6,4,24,700,41,-5.1,1021.7,-5.6,0,"SW",0.5
365,2014,11,27,1,490,580,29,146,6400,2,2,1018,0.8,0,"W",0.7
366,2016,7,9,19,71,71,2,23,800,182,33.7,998.4,20.8,0,"SW",3.3
367,2016,11,18,10,183,334,29,79,4200,6,7.3,1011.5,2.8,0,"NE",1.3
368,2014,11,26,20,373,444,34,145,4200,2,3,1016,0.6,0,"E",1.3
369,2017,1,20,4,4,10,4,17,300,61,-6.7,1031.25,-22.3,0,"NW",3
370,2014,12,22,4,86,146,56,80,2300,2,-6,1020,-15.3,0,"E",0.6
371,2013,7,15,4,71,37,4,24,1700,15,23.5,998.1,23.3,9.7,"E",1.3
372,2015,6,21,0,39,66,4,58,700,119,26.7,1005.6,12.4,0,"SW",2
373,2015,11,4,17,238,238,25,122,1600,35,13.2,1018.2,4.9,0,"N",0.9
374,2013,3,6,22,234,257,140,158,3700,14,8.3,1009.3,-3.6,0,"SE",1.8
375,2015,6,26,10,84,84,2,24,900,131,23.8,997.3,19.9,0,"N",1.2
376,2013,12,23,5,356,430,138,134,6200,15,-8.3,1026.7,-13.7,0,"NE",1.6
377,2014,10,1,2,85,157,7,76,900,2,12.1,1014.3,5.7,0,"NE",1
378,2013,8,14,4,44,51,3,46,800,15,24.6,1000.7,23,0,"E",0
379,2014,4,16,5,41,86,9,83,700,2,12.7,1011.5,2.2,0,"N",0
380,2016,3,6,14,103,244,48,77,1800,39,9.9,1010.6,-8.7,0,"NE",1.3
381,2016,12,22,4,43,43,11,42,900,40,4.5,1018.7,-9.3,0,"NW",4.6
382,2015,8,25,5,8,8,2,20,400,40,22.3,1006.6,16.6,0,"NE",0.9
383,2014,5,1,11,152,202,36,44,800,137,25.3,1003,15,0,"S",3.1
384,2014,2,8,4,78,48,27,42,1400,18,-3.6,1020.3,-4.9,0,"E",1
385,2013,10,3,11,92,141,91,65,3400,35,18.8,1015.6,9,0,"E",2.5
386,2016,4,23,8,14,32,2,49,300,35,15.2,1012.3,-9.7,0,"NE",1.6
387,2013,5,18,9,125,131,39,37,1000,54,21.8,1003.9,14.7,0,"SW",2.1
388,2016,10,19,17,293,293,7,65,2200,55,18.7,1010.9,15,0,"E",1.1
389,2014,5,24,12,77,77,2,49,1200,44,19.8,1003.4,19.3,0,"E",1.4
390,2014,4,18,5,123,110,10,68,1200,2,12,1014.6,10.7,0,"E",1
391,2015,6,4,23,53,53,7,43,8000,70,19.4,996.5,13.6,0,"W",1.5
392,2015,6,13,4,7,13,3,30,400,63,21.3,997.2,13.7,0,"NE",1.9
393,2016,1,4,13,16,16,2,18,400,71,0.3,1025.7,-15.7,0,"N",4.1
394,2015,7,23,5,29,29,2,67,800,4,21.5,1000.9,21.2,0,"E",0.9
395,2015,11,26,14,13,13,8,18,500,64,-2.8,1027.1,-16.5,0,"NW",2
396,2015,3,11,13,9,11,9,24,400,74,8,1019.2,-21.9,0,"E",3.3
397,2016,12,30,10,116,122,25,79,3100,7,-3.8,1027.5,-11.5,0,"E",1.5
398,2015,4,19,21,96,147,14,55,1000,51,14.4,1011.5,6.7,0,"SW",3
399,2017,1,27,18,70,104,19,25,700,69,1.433333333,1022.666667,-16.2,0,"SW",2
400,2013,5,31,18,126,154,50,40,1200,212,27.1,997,15.5,0,"SW",2.4
401,2015,7,28,11,31,31,2,44,1000,68,25.6,1000.4,22.9,0,"E",0.7
402,2016,4,21,20,39,91,2,26,200,91,23.7,999.4,-9.8,0,"NW",2.1
403,2013,6,20,1,57,134,13,103,1500,48,26.1,999.8,17.2,0,"NE",1
404,2013,11,6,23,3,42,1,11,200,46.6956,9.5,1018,-9.1,0,"NW",3.7
405,2016,7,18,17,92,92,2,49,1300,129,26.1,1002.7,22.4,2.9,"W",1.4
406,2014,11,4,10,95,157,19,90,1300,5,9,1013,0.2,0,"N",1
407,2015,2,5,19,51,77,20,59,700,63,4,1025,-15.3,0,"W",3.4
408,2013,12,1,23,120,138,40,85.8154,1900,3,1.7,1016.9,-8.4,0,"E",1.4
409,2016,12,19,4,340,352,22,122,6000,11,-3.5,1020.3,-5.8,0,"NE",0
410,2015,10,12,9,12,40,9,61,600,14,18.9,1019,0.5,0,"SW",0.9
411,2013,12,23,11,72,98,56,80,1900,14,3.8,1027.7,-14.5,0,"NE",2.8
412,2016,3,7,6,41,65,16,68,1000,18,5.1,1015.5,-12.4,0,"NE",1.4
413,2015,5,10,4,32,55,11,44,2900,25,12.2,1012.1,3.7,0,"E",0.9
414,2015,3,1,16,19,24,7,23,400,84,11.5,1012.4,-17,0,"SW",5
415,2014,8,16,11,100,146,30,42,1900,159,30.2,1004.4,18,0,"W",1.8
416,2014,3,5,10,3,17,15,41,700,38,5,1025.8,-20.4,0,"SW",3.4
417,2016,2,3,1,29,29,16,73,1000,20,-5,1024.2,-17.2,0,"NE",0.9
418,2014,11,14,2,42,69,18,83,1300,2,0,1018,-7.1,0,"E",0.8
419,2016,11,21,22,12,23,2,15,400,56,-3.4,1033.8,-17.4,0,"NW",4.7
420,2014,5,26,12,15,66,4,33,300,131,33.2,994,5.7,0,"SW",2.5
421,2014,1,16,6,566,616,85,135,6900,8,-3.3,1023.2,-6.3,0,"NE",1.1
422,2016,10,7,5,48,48,2,39,1800,3,12.4,1017.2,11.5,2.1,"E",1.1
423,2013,3,22,14,68,137,28,43,1100,76,9.9,1013.4,-6.5,0,"SW",5.3
424,2016,7,26,12,18,25,2,27,500,119,31.5,999.7,17.8,0,"NW",1.2
425,2015,10,4,3,62,119,2,86,1200,2,12.7,1019.1,11.4,0,"NE",0.6
426,2014,5,4,2,30,36,2,16,100,78,10.4,1013.6,-7.8,0,"NW",2.5
427,2016,4,23,18,36,51,3,30,300,92,19.9,1008.3,-9.4,0,"SW",2.5
428,2015,8,13,2,115,152,8,42,1200,91,26.5,1001,21.5,0,"SE",1.3
429,2014,9,30,12,12,45,10,37,500,32,14.5,1021.9,-1.6,0,"SW",2.2
430,2017,1,29,1,287,326,63,72,4500,5,-2.825,1018.25,-5.4,0,"NE",1.2
431,2014,12,21,21,43,93,24,76,1000,2,-1,1021,-18.6,0,"NW",1
432,2015,1,30,7,10,28,24,28,400,55,-5,1032,-22.5,0,"N",3
433,2013,12,28,21,24,38,20,58,600,20,-1.3,1020.4,-21.4,0,"W",0.9
434,2013,4,21,14,119,123,38,39,1100,109,17.6,1011.4,1.5,0,"SW",3.7
435,2016,10,19,5,154,163,5,53,2500,2,15.9,1012,14.4,0,"E",0.8
436,2015,3,21,21,15,45,4,86,600,16,13.5,1015.3,-18.9,0,"NW",1
437,2016,8,28,7,11,22,2,54,400,6,20.9,1009.8,13.6,0,"E",1.2
438,2016,6,24,13,12,12,2,11,300,101,32.9,1000.3,4.6,0,"NW",3.7
439,2013,3,24,16,10,17,7,20,400,96,9.5,1014.1,-15.9,0,"SE",1.2
440,2015,1,31,5,18,19,15,38,500,40,-5.3,1035.2,-22.8,0,"NE",2.6
441,2014,5,23,2,69,158,17,57,800,116,24.9,1005.9,12.1,0,"S",1.4
442,2013,11,6,0,256,290,11,114,3600,4.0698,4,1014.3,3.3,0,"N",0
443,2015,6,21,7,58,108,8,83,1100,33,22.9,1005.8,16.9,0,"E",0.8
444,2015,1,18,21,12,74,2,19,300,75,2,1018,-16,0,"NW",2.5
445,2015,8,13,16,92,118,10,18,1100,284,34.5,997.3,20.8,0,"SW",2.7
446,2014,12,30,4,20,20,29,57,700,19,1,1014,-14.7,0,"NE",1.5
447,2013,4,13,10,138,263,53,119,1399,16,23.1,998.1,0.8,0,"N",3.6
448,2013,12,6,19,118,122,42,91.7691,1900,4,1.4,1015.1,-5.7,0,"E",0
449,2015,5,17,7,124,173,10,40,1000,66,19.9,996.9,14.9,0,"S",1.4
450,2015,10,23,0,28,35,3,69,800,2,9.2,1017.1,7.3,0,"NW",0
451,2013,8,11,22,60,11,3,62,1300,19,25.4,1000.1,24.2,0.1,"SE",2.6
452,2015,11,11,13,93,93,6,58,1600,8,6.4,1026.8,2.5,0,"E",1.5
453,2013,5,14,10,25,116,8,17,300,79,26.3,1005.2,0.8,0,"NE",2.3
454,2016,2,25,7,15,33,8,58,600,20,-4.2,1030,-15.8,0,"N",1.5
455,2015,3,31,11,169,169,19,78,3800,17,10.8,1011.6,9.4,0.6,"E",1.6
456,2014,11,23,9,102,144,48,86,2200,2,3,1021,0.4,0,"N",0
457,2015,11,22,8,79,79,21,50,1900,3,-1,1032.1,-1.7,0.8,"E",1.5
458,2015,6,27,12,110,113,11,35,1100,95,26.6,1001.7,20.4,0,"NW",0.9
459,2016,12,2,2,150,171,63,93,2100,6,-0.4,1028.5,-8.4,0,"NE",1
460,2016,8,9,6,43,63,3,96,1000,2,22.2,1005.3,19.4,0,"NE",1.1
461,2014,3,28,23,191,210,26,121,3000,2,11.7,1007.4,8.9,0,"NE",0.7
462,2017,1,21,9,6,18,6,22,400,58,-2.725,1026.5,-21.7,0,"NW",3.8
463,2015,10,21,21,74,88,9,59,1500,4,10.7,1022.3,9.1,0,"SE",0.8
464,2013,11,29,16,68,85,26,58.3052,900,41,9.3,1012.8,-13.9,0,"SW",2.6
465,2017,2,1,10,5,5,6,13,400,65,-0.8,1035.8,-23.6,0,"NE",3.3
466,2014,1,1,15,20,66,11,17,300,64,11,1010.4,-12.5,0,"W",4
467,2013,11,7,7,12,15,5,41,400,9.8532,6.3,1019.1,-5.7,0,"SE",0.5
468,2014,7,11,4,48,110,7,93,900,8,23.1,995.8,18.2,0,"NE",1
469,2015,10,15,19,125,126,14,129,1500,80,16.9,1012.1,10.7,0,"SE",0.4
470,2013,5,3,23,87,152,21,61,1100,110,17.3,1013.2,5.6,0,"SW",2.3
471,2014,4,30,14,94,135,28,26,700,221,27.6,1003,9.4,0,"SW",4
472,2013,3,21,11,3,119,41,74,1399,20,5.4,1004.9,-2.9,0,"NW",1.8
473,2014,1,9,4,13,31,7,2,400,59,-4.6,1028.7,-25.4,0,"N",2.2
474,2014,5,28,8,42,125,12,117,700,6,27.3,999.5,7.2,0,"E",1.3
475,2014,8,23,22,159,206,7,61,1700,106,21.8,1002.7,19,2.8,"W",3.8
476,2013,9,2,0,47,84,3,101,900,35,18.8,1010.3,18.3,0,"W",0.6
477,2013,11,3,10,9,20,12,23,300,40.0554,16.4,1020.4,-2.7,0,"NW",8
478,2016,3,23,8,3,42,2,26,1100,63,8.2,1029,-12.9,0,"NE",3.1
479,2016,1,12,13,7,18,4,16,400,66,-1.9,1026.9,-23.1,0,"NW",2.9
480,2014,1,23,15,205,254,149,112,2800,10,2.6,1009.2,-11.4,0,"E",1.3
481,2015,4,29,14,111,111,14,28,1200,204,25.8,1007.4,13.6,0,"S",2.9
482,2016,4,25,17,103,103,4,21,300,163,27.1,1006.9,5.4,0,"SW",4.1
483,2014,9,24,22,55,82,5,64,1200,41,18.8,1013,15.3,0,"SW",2.3
484,2015,8,20,17,19,42,2,21,500,171,32.8,1000.7,13.4,0,"SW",2.6
485,2013,8,4,10,100,24,11,32,1100,117,31.2,996.7,20.5,0,"W",0.6
486,2013,7,20,9,163,101,16,47,1400,74,29.5,1000.9,19.5,0,"NE",1.9
487,2014,9,2,12,28,28,2,30,1100,66,21.2,1005.9,20,4.5,"NE",1.2
488,2015,9,6,0,16,16,2,39,600,57,18.9,1008.4,14.4,0,"NW",2
489,2014,2,24,18,389,463,125,174,5300,3,4.7,1022.2,-2.4,0,"S",1.1
490,2015,8,5,17,51,64,4,12,1000,203,31.7,996.9,20.6,0,"S",2.3
491,2013,11,15,5,116,171,15,83,3000,3.8556,1.3,1014.6,-3.8,0,"NE",1.6
492,2015,6,11,20,11,11,2,33,400,77,23,993.1,9.4,0,"E",0.9
493,2014,3,3,9,218,281,173,97,6400,2,1.4,1018.9,-3.9,0,"E",1.9
494,2013,4,16,0,53,115,46,51,1500,63,10.2,1000,-0.6,0,"NE",1.4
495,2015,2,16,4,250,250,90,85,3500,16,0,1015,-7.5,0,"W",1.1
496,2015,5,13,20,143,243,7,139,1300,128,24,991.7,14.1,0,"W",0.7
497,2014,4,18,18,144,102,16,32,1300,131,16.3,1015.3,4.3,0,"S",1.5
498,2013,12,11,1,3,6,4,16.424,400,44,-0.1,1019.1,-18.3,0,"NW",5.1
499,2015,1,13,2,156,189,61,103,4400,2,-3.4,1030.1,-8.5,0,"NE",0.9
500,2013,11,26,10,9,15,13,20.53,400,39,6,1015,-17.3,0,"NW",1.6
501,2015,5,30,20,68,125,10,37,800,161,26.2,1000.6,15.3,0,"S",2.1
502,2013,4,9,16,15,15,3,22,300,97,10.6,1016.4,-9.2,0,"NW",5.9
503,2016,6,6,1,53,54,6,55,600,38,20.6,1006,14.9,0,"E",1.2
504,2015,3,6,13,220,221,77,97,2300,34,7.2,1013.9,-10.1,0,"SW",1.8
505,2017,1,23,6,18,25,17,58,900,10,-8.925,1032,-18.3,0,"NE",1.3
506,2015,5,2,22,52,52,2,40,600,105,21,1005.4,11.9,0,"SW",2.4
507,2015,7,22,5,54,54,2,48,900,26,21.3,1000,20.5,0,"SE",0.7
508,2016,2,16,10,9,33,4,19,300,67,3.9,1018.7,-15.4,0,"NW",4.2
509,2014,7,31,14,198,198,12,36,1800,230,30.6,1001.6,21.9,0,"SE",2.9
510,2016,8,14,16,21,39,4,18,500,208,34.5,1001.5,17.3,0,"S",2
511,2014,5,4,9,28,47,4,13,100,82,14.6,1013.3,-14.6,0,"N",6.3
512,2014,3,27,21,103,218,44,107,2300,2,11.4,1005.1,4.1,0,"SE",0.5
513,2015,5,25,0,76,123,20,35,900,170,27.3,1000.5,10.1,0,"SW",4.2
514,2016,5,25,11,5,25,2,20,300,97,23.5,1003.1,4.4,0,"NW",3.5
515,2014,12,2,1,6,10,5,34,400,35,-6,1030,-24.3,0,"N",2.1
516,2014,9,7,20,116,165,20,47,1500,153,23.8,1003.7,19.7,0,"W",0.1
517,2015,8,28,17,5,9,2,9,300,138,32.5,1000.7,11.6,0,"NE",1.6
518,2014,3,28,21,177,210,35,117,2900,16,14,1006.8,9.4,0,"E",0.8
519,2016,1,15,12,66,82,26,68,1600,29,1.3,1013.9,-15.7,0,"SE",1.2
520,2017,1,23,17,42,68,15,47,800,39,-0.325,1029,-18,0,"E",1.3
521,2013,6,22,8,108,76,6,57,900,25,21.2,1005.7,19.8,0.9,"NE",0.9
522,2014,2,21,23,237,285,72,118,3600,3,-0.7,1024.8,-4.2,0,"NE",1.3
523,2017,2,13,6,171,176,38,104,4600,2,-4.3,1026.1,-11.8,0,"SE",0.6
524,2014,7,22,17,10,27,14,30,600,50,28.6,1002,15.5,0,"NW",2
525,2014,6,27,22,30,60,5,81,700,97,27.1,1002.3,13.4,0,"W",1.5
526,2014,1,26,17,56,84,49,38,800,54,1.7,1019.7,-10.5,0,"S",2.2
527,2016,9,25,2,246,274,6,80,1700,21,20.975,1008,18.3,0,"NE",0.9
528,2013,11,11,0,16,22,7,39,500,26.1324,4.4,1026.5,-11.7,0,"NE",1
529,2015,3,23,4,51,127,9,68,1000,6,1.3,1025.8,-7,0,"NE",1.3
530,2015,2,7,23,8,65,3,11,300,84,-5,1030,-27,0,"N",4.3
531,2013,12,6,16,240,287,72,146.9948,3100,10.4958,7.7,1014,-7.2,0,"S",1.4
532,2015,6,30,23,26,52,2,50,500,60,22.3,993.3,14.7,0,"SW",1.6
533,2014,2,21,9,242,242,88,87,2100,3,0.2,1025.2,-3.4,0,"E",1.5
534,2016,7,19,19,113,113,2,57,1400,44,24.3,1003,22.9,0,"NE",1.4
535,2013,7,5,16,19,22,6,18,300,181,35.3,993.2,15.1,0,"W",1.6
536,2016,11,18,0,183,270,37,79,5000,7,6.5,1015.5,0.2,0,"E",0.9
537,2017,1,27,12,47,55,18,19,700,66,1.6,1029,-15.4,0,"SW",5.1
538,2013,5,14,23,36,94,7,128,900,41,20.6,1008.7,5.8,0,"NE",1.2
539,2016,5,22,10,38,104,7,32,500,124,25.5,1015.2,8,0,"N",1.9
540,2013,10,18,14,229,245,77,127,2400,18,17.6,1019.2,4.9,0,"S",1.3
541,2014,1,27,7,93,115,107,82,2100,3,-5.2,1013.2,-9.1,0,"E",1.1
542,2015,8,23,16,8,12,2,9,500,116,23.3,1005.9,16.6,0,"E",1.5
543,2016,11,22,17,11,26,4,29,300,41,-1.1,1033.4,-17.3,0,"NW",3
544,2016,6,28,1,61,61,2,48,600,63,21.2,1001,17.8,0,"N",1.1
545,2016,9,4,2,58,107,5,92,900,18,23.4,1005.2,18.3,0,"SE",1.8
546,2015,11,8,19,102,102,4,92,1300,2,4.8,1021.2,1.6,0,"W",1.8
547,2014,6,5,12,50,69,15,23,800,182,31.7,1000.2,14.8,0,"W",2.3
548,2016,6,13,20,54,54,2,35,700,87,19.5,997.6,17.5,0,"NE",1.5
549,2014,1,2,3,160,252,92,103,4800,12,-3.5,1015.3,-10.4,0,"E",1
550,2015,4,22,11,54,78,6,34,500,92,23.1,1014.4,-2.5,0,"SW",4.5
551,2014,3,7,17,28,42,11,43,400,57,6.4,1023,-19.2,0,"S",2
552,2015,5,15,0,31,56,2,39,400,65,20.9,1007.9,2.7,0,"NE",1.7
553,2015,3,15,22,120,260,35,92,1100,50,12.8,1010.7,-8.4,0,"S",1.8
554,2013,8,24,13,20,34,6,25,600,131,34.3,1004.6,11.4,0,"NE",1.4
555,2015,11,3,6,191,223,25,108,3300,8,3,1018.8,2.4,0,"NE",0.7
556,2015,1,6,7,8,16,30,35,500,38,-5,1023,-23,0,"NE",1.2
557,2013,8,21,3,140,62,1,56,1600,10,24.2,1004.3,23.7,0,"NE",0
558,2014,6,12,23,39,92,8,51,800,72,25.5,1002.7,17.7,0,"SE",1.3
559,2015,1,5,1,253,300,118,121,5200,2,2,1010,-7.6,0,"W",1.4
560,2015,3,18,17,52,87,11,44,600,102,12.8,1008,-9,0,"SW",2.3
561,2016,10,28,23,21,26,2,59,500,2,5.7,1029.1,-1.7,0,"NW",0.6
562,2015,2,22,9,35,212,3,16,300,57,-4,1022,-23.7,0,"NW",7
563,2016,4,3,0,4,26,2,20,100,64,13.6,1020.1,-15.3,0,"N",2.2
564,2016,9,5,8,35,35,2,38,600,52,21.8,1007.5,16.1,0,"NE",2.4
565,2016,7,5,8,140,140,7,46,1500,37,25.8,1007.5,18.5,0,"E",0.7
566,2016,11,26,16,174,374,22,97,1700,21,6.4,1014.6,-5.9,0,"SW",0.7
567,2013,8,21,12,149,113,1,69,1600,48,29.4,1004,21.9,0,"SE",1.3
568,2014,10,8,7,207,229,4,100,1400,2,12.8,1016.8,11.2,0.6,"NW",2.5
569,2015,8,30,16,19,21,2,21,1000,105,21.8,1007.3,17.2,0,"S",1.5
570,2014,5,5,3,83,120,6,85,1000,2,5.6,1014.4,-1.8,0,"NE",1.3
571,2016,11,27,1,310,462,12,122,4500,7,-0.3,1016.7,-2.7,0,"E",0.8
572,2014,4,14,8,238,254,30,82,1900,4,15.7,1014.5,9.8,0,"E",2
573,2016,4,15,18,78,173,24,47,900,158,21.4,1003.9,5.3,0,"W",1.8
574,2017,2,28,7,15,15,10,36,500,43,8.4,1016.2,-12.1,0,"NW",2.3
575,2016,7,13,10,21,21,3,26,600,85,30.3,1000.9,19.7,0,"NE",2.1
576,2015,5,5,23,10,39,2,41,300,65,20.2,1004.4,-7.3,0,"NE",2.1
577,2014,2,11,9,72,70,75,71,2000,2,-6.5,1025.7,-15.7,0,"N",1
578,2014,4,13,3,146,148,26,59,2000,27,10.2,1012.8,4.6,0,"E",0.6
579,2015,1,18,1,236,283,79,124,4800,4,-1,1018,-12.9,0,"NE",1.2
580,2014,3,24,10,240,283,80,111,2300,17,14,1010.8,3.2,0,"SE",1.5
581,2013,10,25,21,77,116,9,144,2000,3,6.5,1021.8,3.1,0,"N",1.2
582,2016,4,19,14,93,98,45,70,2100,44,14.8,1011.9,4.5,0,"E",2
583,2014,4,9,23,93,331,38,61,1500,83,16.5,1016.5,4.5,0,"S",1.9
584,2016,8,1,12,47,49,3,23,1000,93,30.2,1005.7,23.6,0,"E",1.1
585,2017,1,8,19,17,17,7,36,500,42,5.4,1017.3,-11.3,0,"NW",2.9
586,2013,9,3,11,76,127,11,60,1200,70,26.1,1012.9,18.5,0,"E",2.3
587,2017,2,28,12,3,13,2,13,200,82,12.9,1015.4,-14.9,0,"NW",3.3
588,2016,7,6,12,85,85,6,25,900,221,32,1007.7,17.1,0,"SW",2.1
589,2015,2,27,9,16,20,14,39,700,39,-1,1030,-16.8,0,"S",0.4
590,2015,3,12,21,93,101,30,115,1900,12,6.1,1012.8,-12,0,"W",1
591,2015,5,8,12,80,127,22,38,1200,102,20.8,1004.5,6.7,0,"E",4.4
592,2014,10,10,8,290,290,2,88,2100,2,15.1,1020.1,14.5,0,"E",1.2
593,2016,12,23,5,14,24,7,30,500,35,-4,1025.5,-15,0,"NE",1.4
594,2013,8,18,8,7,9,3,34,300,28,29.4,1005.4,14.8,0,"NE",2.1
595,2014,3,29,15,24,71,2,2,300,115,21.7,1006.7,0.8,0,"NE",2.3
596,2013,4,28,19,64,69,31,74,1399,91,19.2,1007,-5.7,0,"N",2.5
597,2016,5,27,23,26,61,9,30,400,101,23.3,1004.1,6.1,0,"SW",3.7
598,2016,5,12,21,23,73,8,78,400,41,14.7,1013.8,1.6,0,"SW",0.5
599,2016,11,13,5,57,68,8,54,1500,2,7.2,1015.1,3.1,0,"E",1.4
600,2015,1,23,11,201,221,80,110,3000,8,0,1013,-11.1,0,"SE",1.1
601,2014,5,6,20,108,196,39,58,1300,99,18,999,7.1,0,"E",2.4
602,2016,2,15,6,7,24,4,17,300,58,-3.6,1023.6,-19.1,0,"NW",3.9
603,2015,7,1,19,26,26,2,48,500,32,25.5,995.6,16.4,0,"NW",1.9
604,2015,6,27,6,37,37,2,34,600,39,21.5,999.8,18.7,0,"NE",1.2
605,2016,7,3,4,79,79,8,49,1000,58,25.9,1001.7,17.8,0,"S",1.1
606,2017,1,22,12,12,12,8,26,600,51,-3.525,1032.75,-21.1,0,"NW",1.9
607,2016,7,22,7,64,64,2,63,1200,8,24.5,997.7,23.8,0,"SE",0.2
608,2014,9,8,12,3,15,2,4,300,92,27.7,1006.2,5.3,0,"N",0.7
